1,Bubble Cursor,30,18,0,0,1722,0
1,Bubble Cursor,30,18,0,1,1150,0
1,Bubble Cursor,30,18,0,2,2536,0
1,Bubble Cursor,30,18,0,3,2055,0
1,Bubble Cursor,30,18,0,4,2200,0
1,Bubble Cursor,30,18,0,5,2568,0
1,Bubble Cursor,30,18,0,6,1665,1
1,Bubble Cursor,30,18,0,7,1512,0
1,Bubble Cursor,30,18,0,8,1520,0
1,Bubble Cursor,30,18,0,9,2096,0
1,Bubble Cursor,30,18,0,10,5320,1
1,Bubble Cursor,30,18,0,11,3023,0
1,Bubble Cursor,30,18,0,12,7696,1
1,Bubble Cursor,30,18,0,13,2769,0
1,Bubble Cursor,30,18,0,14,7040,1
1,Bubble Cursor,30,6,1,0,4781,0
1,Bubble Cursor,30,6,1,1,4337,0
1,Bubble Cursor,30,6,1,2,5761,0
1,Bubble Cursor,30,6,1,3,4974,0
1,Bubble Cursor,30,6,1,4,3480,0
1,Bubble Cursor,30,6,1,5,8985,0
1,Bubble Cursor,30,6,1,6,8725,2
1,Bubble Cursor,30,6,1,7,3772,0
1,Bubble Cursor,30,6,1,8,13584,1
1,Bubble Cursor,30,6,1,9,3054,0
1,Bubble Cursor,30,6,1,10,2752,0
1,Bubble Cursor,30,6,1,11,2656,0
1,Bubble Cursor,30,6,1,12,2136,0
1,Bubble Cursor,30,6,1,13,3234,0
1,Bubble Cursor,30,6,1,14,3278,1
1,Bubble Cursor,60,18,1,0,1816,0
1,Bubble Cursor,60,18,1,1,6121,0
1,Bubble Cursor,60,18,1,2,5032,0
1,Bubble Cursor,60,18,1,3,3823,0
1,Bubble Cursor,60,18,1,4,6682,0
1,Bubble Cursor,60,18,1,5,1102,0
1,Bubble Cursor,60,18,1,6,8208,0
1,Bubble Cursor,60,18,1,7,1649,0
1,Bubble Cursor,60,18,1,8,1434,0
1,Bubble Cursor,60,18,1,9,1669,0
1,Bubble Cursor,60,18,1,10,1770,0
1,Bubble Cursor,60,18,1,11,2193,0
1,Bubble Cursor,60,18,1,12,1726,0
1,Bubble Cursor,60,18,1,13,1641,0
1,Bubble Cursor,60,18,1,14,1742,0
1,Rope Cursor,30,6,0,0,2975,0
1,Rope Cursor,30,6,0,1,3225,0
1,Rope Cursor,30,6,0,2,1857,0
1,Rope Cursor,30,6,0,3,1671,0
1,Rope Cursor,30,6,0,4,19924,1
1,Rope Cursor,30,6,0,5,2205,0
1,Rope Cursor,30,6,0,6,8328,0
1,Rope Cursor,30,6,0,7,5200,0
1,Rope Cursor,30,6,0,8,3768,0
1,Rope Cursor,30,6,0,9,3990,0
1,Rope Cursor,30,6,0,10,2914,0
1,Rope Cursor,30,6,0,11,2447,0
1,Rope Cursor,30,6,0,12,2153,0
1,Rope Cursor,30,6,0,13,1887,0
1,Rope Cursor,30,6,0,14,5321,0
1,Rope Cursor,90,12,0,0,1590,0
1,Rope Cursor,90,12,0,1,2608,0
1,Rope Cursor,90,12,0,2,2168,0
1,Rope Cursor,90,12,0,3,1528,0
1,Rope Cursor,90,12,0,4,1679,0
1,Rope Cursor,90,12,0,5,2280,0
1,Rope Cursor,90,12,0,6,2961,0
1,Rope Cursor,90,12,0,7,3199,0
1,Rope Cursor,90,12,0,8,1528,0
1,Rope Cursor,90,12,0,9,1936,0
1,Rope Cursor,90,12,0,10,2055,0
1,Rope Cursor,90,12,0,11,2841,0
1,Rope Cursor,90,12,0,12,3520,0
1,Rope Cursor,90,12,0,13,2183,0
1,Rope Cursor,90,12,0,14,1896,0
1,Normal Cursor,90,6,1,0,9925,1
1,Normal Cursor,90,6,1,1,3472,0
1,Normal Cursor,90,6,1,2,5079,1
1,Normal Cursor,90,6,1,3,3729,0
1,Normal Cursor,90,6,1,4,3783,0
1,Normal Cursor,90,6,1,5,1841,0
1,Normal Cursor,90,6,1,6,1752,0
1,Normal Cursor,90,6,1,7,1794,0
1,Normal Cursor,90,6,1,8,3062,0
1,Normal Cursor,90,6,1,9,2815,0
1,Normal Cursor,90,6,1,10,3784,0
1,Normal Cursor,90,6,1,11,6185,0
1,Normal Cursor,90,6,1,12,2328,0
1,Normal Cursor,90,6,1,13,2944,0
1,Normal Cursor,90,6,1,14,3384,0
1,Normal Cursor,60,12,0,0,1410,0
1,Normal Cursor,60,12,0,1,3192,0
1,Normal Cursor,60,12,0,2,2304,0
1,Normal Cursor,60,12,0,3,1799,0
1,Normal Cursor,60,12,0,4,2185,0
1,Normal Cursor,60,12,0,5,1816,1
1,Normal Cursor,60,12,0,6,2207,0
1,Normal Cursor,60,12,0,7,4048,0
1,Normal Cursor,60,12,0,8,2091,0
